Periodo;Nivel General y Aperturas;Indice
"periodo";"nivel_general_aperturas";"indice_icc"
"1/7/2024";"b_carpinteria_metalica_y_herreria";906,829360851225
"1/7/2024";"n_carpinteria_de_madera";1116,5554802161
"1/7/2024";"io_ascensores";1373,7496195597
"1/7/2024";"ii_vidrios";1121,44945046379
"1/7/2024";"i2_pintura";998,668157787719
"1/7/2024";"ie_otros_trabajos_y_gastos";1139,62757362027
"1/8/2024";"i_movimiento_de_tierras";944,36177605952
"1/8/2024";"2_estructura";923,318706411544
"1/8/2024";"e_albanileria";929,437358493606
"1/8/2024";"4_yeseria";1063,49548379479
"1/8/2024";"m_instalacion_sanitaria_y_contraincendio";1179,19550781088
"1/8/2024";"6_instalacion_de_gas";1122,26816142282
"1/8/2024";"t_instalacion_electrica";947,263531365592
"1/8/2024";"b_carpinteria_metalica_y_herreria";934,159940449257
"1/8/2024";"n_carpinteria_de_madera";1162,1481222249
"1/8/2024";"io_ascensores";1413,93425991681
"1/8/2024";"ii_vidrios";1155,89192454595
"1/8/2024";"i2_pintura";1014,92476616511
"1/8/2024";"ie_otros_trabajos_y_gastos";1174,10125282789
"1/9/2024";"i_movimiento_de_tierras";1032,28466475504
"1/9/2024";"2_estructura";972,339298733098
"1/9/2024";"e_albanileria";988,689963016977
"1/9/2024";"4_yeseria";1089,96694019718
"1/9/2024";"m_instalacion_sanitaria_y_contraincendio";1198,59412343596
"1/9/2024";"6_instalacion_de_gas";1139,16008079275
"1/9/2024";"t_instalacion_electrica";969,368536272363
"1/9/2024";"b_carpinteria_metalica_y_herreria";938,893348707544
"1/9/2024";"n_carpinteria_de_madera";1202,0800979899
"1/9/2024";"io_ascensores";1463,7871563356
"1/9/2024";"ii_vidrios";1172,80867565672
"1/9/2024";"i2_pintura";1040,86736768721
"1/9/2024";"ie_otros_trabajos_y_gastos";1242,72447291877
"1/10/2024";"i_movimiento_de_tierras";1037,09915728861
"1/10/2024";"2_estructura";978,839566969751
"1/10/2024";"e_albanileria";993,281820306016
"1/10/2024";"4_yeseria";1095,4572288801
